method,method_label,seed_per_class,seed_samples,generated_total,train_size_augmented,model,accuracy
time_shift,Time Shift + Jitter,20,380,190,570,CNN-GRU,0.5300751879699248
time_shift,Time Shift + Jitter,20,380,190,570,RandomForest,0.9473684210526315
time_warp,Time Warping + Jitter,20,380,190,570,1D-CNN,0.9172932330827067
time_warp,Time Warping + Jitter,20,380,190,570,GRU,0.15037593984962405
time_warp,Time Warping + Jitter,20,380,190,570,LSTM,0.11278195488721804
time_warp,Time Warping + Jitter,20,380,190,570,CNN-GRU,0.41353383458646614
time_warp,Time Warping + Jitter,20,380,190,570,RandomForest,0.9511278195488722
permutation,Permutation + Jitter,20,380,190,570,1D-CNN,0.868421052631579
permutation,Permutation + Jitter,20,380,190,570,GRU,0.18045112781954886
permutation,Permutation + Jitter,20,380,190,570,LSTM,0.10526315789473684
permutation,Permutation + Jitter,20,380,190,570,CNN-GRU,0.41729323308270677
permutation,Permutation + Jitter,20,380,190,570,RandomForest,0.9360902255639098
